loss,acc
0.05885811392652353,62.90342711649499
0.07199107036711731,61.7710204695617
0.10078644681548689,62.979436423331094
0.11850090077596957,61.75968210018379
0.1468763631330221,61.34043803736209
0.17146762762576967,62.14501120162748
0.19985418187990686,62.69607796039938
0.22745210662742596,62.733445449854806
0.248995342085177,62.59223725558709
0.09989900626524884,62.83510896812344
0.07613914593348454,63.250455286893505
0.07128823631285784,63.79270795854868
0.06761481024396095,62.382981776547766
0.07258386585143412,62.62837329806889
0.0697945425182635,62.07262405486564
0.07071190994017584,62.49133422601316
0.07427837118749396,62.71644658646939
0.07502363967913202,62.93417192817549
0.056606162124621086,63.01505324634909
0.051583275971170225,62.32321195137424
0.05514511266747182,61.987136813859955
0.05598442018790593,62.18216752697752
0.06117459453015181,61.56591059875116
0.05780672259139724,62.44267559605365
0.05560756451101191,62.35053454954892
0.056496467438879074,62.33414161256519
0.05836889333165937,62.25511648388387
