loss,acc
0.5144953593685692,42.10451390409459
0.5180885948019307,42.03190183612791
0.5202014458563953,41.314299078021286
0.5184214622315497,42.18368239143702
0.5241338269104258,41.87784092575953
0.5229586986587772,41.4755616352846
0.5230380020407056,41.90700475430706
0.52259287740702,42.82165295392611
0.5240342427943965,42.11045900332613
0.42170023029933773,41.8050995255799
0.4185616838599088,42.34761065007201
0.4171394657441732,41.10237673765302
0.4164444220643093,41.88173451477723
0.42236120010080774,41.246326171078756
0.42192323662267905,41.874633464771314
0.42284415681843074,41.28960237190054
0.4243966298068447,42.593651205086466
0.4264169145633392,41.57831422122333
0.3805679601962689,41.73365196302166
0.3798403443112411,41.82477098369131
0.3779578815564135,41.70963307145532
0.3754147081395929,41.75941739897738
0.37838136703876485,41.520402425082764
0.3777666433555797,41.02159429218901
0.3779236727958249,41.30405460548812
0.3794532999352061,41.936087392498685
0.381282891627795,40.90101944944447
