,loss,acc
0,6.086978196,21.32289728
1,5.722170463,24.09630018
2,5.523240781,25.49002282
3,5.384912545,27.08343902
4,5.278111872,28.09167489
5,5.186992756,29.01315563
6,5.112316933,29.08008907
7,5.04787449,30.11483686
8,4.988333879,30.54990911
9,4.135891236,30.84496712
10,4.11221309,30.874557
11,4.090073175,31.15032312
12,4.069069509,32.33340789
13,4.046876983,31.93332588
14,4.020564056,32.62690078
15,4.001024605,32.9486525
16,3.980677955,33.33054496
17,3.960479386,33.14574081
18,3.541998035,33.26661926
19,3.527698057,33.06136817
20,3.508586681,33.65976088
21,3.491590352,33.98184722
22,3.478499576,34.52761074
23,3.459053069,33.84616231
24,3.448647347,33.80871664
25,3.435282347,34.78887714
26,3.422055262,34.3482172
27,3.111325611,34.411237
28,3.093059226,34.10802386
29,3.07189242,34.34122564
30,3.056990625,34.25293251
31,3.04854096,34.74333242
32,3.031732095,34.92720732
33,3.026012289,34.78322303
34,3.015858865,35.15811001
35,3.007064318,35.13048693
36,2.771870673,34.39407609
37,2.740167228,34.20770678
38,2.72069262,33.82241102
39,2.706044905,34.71804249
40,2.700079265,34.99735671
41,2.688082752,34.27757452
42,2.683205097,34.49140187
43,2.674720108,34.80909282
44,2.667174226,35.20868172
45,2.486488027,34.66505324
46,2.448875849,34.00197329
47,2.430733199,34.65531966
48,2.413644505,34.290604
49,2.409346897,35.09460402
50,2.398162903,35.18603593
51,2.395140446,34.73649635
52,2.388114108,34.74152586
53,2.382157464,35.28609075
54,2.226699133,34.5303735
55,2.196225569,34.55106499
56,2.177539473,34.04964539
57,2.162527121,34.14582012
58,2.159987652,34.64755424
59,2.150739862,34.16556651
60,2.149993375,35.00611802
61,2.142440036,34.12215153
62,2.138247587,34.39426332
63,2.012033889,34.15015014
64,1.980138129,33.18599572
65,1.960271973,34.14373903
66,1.94354849,33.85605219
67,1.941742974,34.40938899
68,1.934770849,33.74542142
69,1.93470749,33.9050582
70,1.929688244,33.00623393
71,1.927377084,34.17880533
72,1.822055503,33.7746266
73,1.79433779,34.02168891
74,1.775000245,33.65036485
75,1.759061489,33.1336689
76,1.757692237,33.87574792
77,1.753982581,32.93493966
78,1.755234057,33.43685091
79,1.750679638,34.23537083
80,1.749085262,34.15117568
81,1.659465641,33.16957159
82,1.631675458,32.56488003
83,1.618065104,33.02163176
84,1.605954088,33.49752409
85,1.607223088,34.37464752
86,1.604052856,33.76173262
87,1.606121289,33.50193285
88,1.601721169,33.47322613
89,1.601492925,34.13815558
